Modbus address,Object designation ,WPMsystem,WPM 3,WPM 3i,Comments,Min. value,Max. value,Data type,Unit,Write/ read (w/r),Suffix
3535,VD HEATING TOTAL,x,x,,Power consumption HP 1,0,65535,6,MWh,r,HI CONSUMED HP 1
3536,VD DHW DAY,x,x,,Power consumption HP 1,0,65535,6,kWh,r,CONSUMEDHP 1
3537,VD DHW TOTAL,x,x,,Power consumption HP 1,0,999,6,kWh,r,LOW CONSUMED HP 1
3538,VD DHW TOTAL,x,x,,Power consumption HP 1,0,65535,6,MWh,r,HI CONSUMED HP 1
3539,VD 1 HEATING,x,x,,Runtime HP 1,,,6,h,r,HP 1
3540,VD 2 HEATING,x,x,,Runtime HP 1,,,6,h,r,HP 1
3541,VD 1_2 HEATING,x,x,,Runtime HP 1,,,6,h,r,HP 1
3542,VD 1 DHW,x,x,,Runtime HP 1,,,6,h,r,HP 1
3543,VD 2 DHW,x,x,,Runtime HP 1,,,6,h,r,HP 1
3544,VD 1_2 DHW,x,x,,Runtime HP 1,,,6,h,r,HP 1
3545,VD COOLING x,x,x,,Runtime HP 1,,,6,h,r,HP 1
3546,NHZ 1,x,x,,Runtime reheating stage,,,6,h,r,REHEATING
3547,NHZ 2,x,x,,Runtime reheating stage,,,6,h,r,REHEATING
3548,NHZ 1_2,x,x,,Runtime reheating stage,,,6,h,r,REHEATING
3549,VD HEATING DAY,x,x,,Amount of heat HP 2,0,65535,6,kWh,r,HP 2
3550,VD HEATING TOTAL,x,x,,Amount of heat HP 2,0,999,6,kWh,r,LOW HP 2
3551,VD HEATING TOTAL,x,x,,Amount of heat HP 2,0,65535,6,MWh,r,HI HP 2
3552,VD DHW DAY,x,x,,Amount of heat HP 2,0,65535,6,kWh,r,HP 2
3553,VD DHW TOTAL,x,x,,Amount of heat HP 2,0,999,6,kWh,r,LOW HP 2
3554,VD DHW TOTAL,x,x,,Amount of heat HP 2,0,65535,6,MWh,r,HI HP 2
3555,VD HEATING DAY,x,x,,Power consumption HP 2,0,65535,6,kWh,r,CONSUMED HP 2
3556,VD HEATING TOTAL,x,x,,Power consumption HP 2,0,999,6,kWh,r,LOW CONSUMED HP 2
3557,VD HEATING TOTAL,x,x,,Power consumption HP 2,0,65535,6,MWh,r,HI CONSUMED HP 2
3558,VD DHW DAY,x,x,,Power consumption HP 2,0,65535,6,kWh,r,CONSUMED HP 2
3559,VD DHW TOTAL,x,x,,Power consumption HP 2,0,999,6,kWh,r,LOW CONSUMED HP 2
3560,VD DHW TOTAL,x,x,,Power consumption HP 2,0,65535,6,MWh,r,HI CONSUMED HP 2
3561,VD 1 HEATING,x,x,,Runtime HP 2,,,6,h,r,HP 2
3562,VD 2 HEATING,x,x,,Runtime HP 2,,,6,h,r,HP 2
3563,VD 1_2 HEATING,x,x,,Runtime HP 2,,,6,h,r,HP 2
3564,VD 1 DHW,x,x,,Runtime HP 2,,,6,h,r,HP 2
3565,VD 2 DHW,x,x,,Runtime HP 2,,,6,h,r,HP 2
3566,VD 1_2 DHW,x,x,,Runtime HP 2,,,6,h,r,HP 2
3567,VD COOLING,x,x,,Runtime HP 2,,,6,h,r,HP 2
3568,VD HEATING DAY,x,x,,Amount of heat HP 3,0,65535,6,kWh,r,HP 3
3569,VD HEATING TOTAL,x,x,,Amount of heat HP 3,0,999,6,kWh,r,LOW HP 3
3570,VD HEATING TOTAL,x,x,,Amount of heat HP 3,0,65535,6,MWh,r,HI HP 3
3571,VD DHW DAY,x,x,,Amount of heat HP 3,0,65535,6,kWh,r,HP 3
3572,VD DHW TOTAL,x,x,,Amount of heat HP 3,0,999,6,kWh,r,LOW HP 3
3573,VD DHW TOTAL,x,x,,Amount of heat HP 3,0,65535,6,MWh,r,HI HP 3
3574,VD HEATING DAY,x,x,,Power consumption HP 3,0,65535,6,kWh,r,CONSUMED HP 3
3575,VD HEATING TOTAL,x,x,,Power consumption HP 3,0,999,6,kWh,r,LOW CONSUMED HP 3
3576,VD HEATING TOTAL,x,x,,Power consumption HP 3,0,65535,6,MWh,r,HI CONSUMED HP 3
3577,VD DHW DAY,x,x,,Power consumption HP 3,0,65535,6,kWh,r,CONSUMED HP 3
3578,VD DHW TOTAL,x,x,,Power consumption HP 3,0,999,6,kWh,r,LOW CONSUMED HP 3
3579,VD DHW TOTAL,x,x,,Power consumption HP 3,0,65535,6,MWh,r,HI CONSUMED HP 3
3580,VD 1 HEATING,x,x,,Runtime HP 3,,,6,h,r,HP 3
3581,VD 2 HEATING,x,x,,Runtime HP 3,,,6,h,r,HP 3
3582,VD 1_2 HEATING,x,x,,Runtime HP 3,,,6,h,r,HP 3
3583,VD 1 DHW,x,x,,Runtime HP 3,,,6,h,r,HP 3
3584,VD 2 DHW,x,x,,Runtime HP 3,,,6,h,r,HP 3
3585,VD 1_2 DHW,x,x,,Runtime HP 3,,,6,h,r,HP 3
3586,VD COOLING,x,x,,Runtime HP 3,,,6,h,r,HP 3
3587,VD HEATING DAY,x,x,,Amount of heat HP 4,,,6,kWh,r,HP 4
3588,VD HEATING TOTAL,x,x,,Amount of heat HP 4,,,6,kWh,r,LOW HP 4
3589,VD HEATING TOTAL,x,x,,Amount of heat HP 4,,,6,MWh,r,HI HP 4
3590,VD DHW DAY,x,x,,Amount of heat HP 4,,,6,kWh,r,HP 4
3591,VD DHW TOTAL,x,x,,Amount of heat HP 4,,,6,kWh,r,LOW HP 4
3592,VD DHW TOTAL,x,x,,Amount of heat HP 4,,,6,MWh,r,HI HP 4
3593,VD HEATING DAY,x,x,,Power consumption HP 4,,,6,kWh,r,CONSUMED HP 4
3594,VD HEATING TOTAL,x,x,,Power consumption HP 4,,,6,kWh,r,LOW CONSUMED HP 4
3595,VD HEATING TOTAL,x,x,,Power consumption HP 4,,,6,MWh,r,HI CONSUMED HP 4
3596,VD DHW DAY,x,x,,Power consumption HP 4,,,6,kWh,r,CONSUMED HP 4
3597,VD DHW TOTAL,x,x,,Power consumption HP 4,,,6,kWh,r,LOW CONSUMED HP 4
3598,VD DHW TOTAL,x,x,,Power consumption HP 4,,,6,MWh,r,HI CONSUMED HP 4
3599,VD 1 HEATING,x,x,,Runtime HP 4,,,6,h,r,HP 4
3600,VD 2 HEATING,x,x,,Runtime HP 4,,,6,h,r,HP 4
3601,VD 1/2 HEATING,x,x,,Runtime HP 4,,,6,h,r,HP 4
3602,VD 1 DHW,x,x,,Runtime HP 4,,,6,h,r,HP 4
3603,VD 2 DHW,x,x,,Runtime HP 4,,,6,h,r,HP 4
3604,VD 1/2 DHW,x,x,,Runtime HP 4,,,6,h,r,HP 4
3605,VD COOLING,x,x,,Runtime HP 4,,,6,h,r,HP 4
3606,VD HEATING DAY,x,x,,Amount of heat HP 5,,,6,kWh,r,HP 5
3607,VD HEATING TOTAL,x,x,,Amount of heat HP 5,,,6,kWh,r,LOW HP 5
3608,VD HEATING TOTAL,x,x,,Amount of heat HP 5,,,6,MWh,r,HI HP 5
3609,VD DHW DAY,x,x,,Amount of heat HP 5,,,6,kWh,r,HP 5
3610,VD DHW TOTAL,x,x,,Amount of heat HP 5,,,6,kWh,r,LOW HP 5
3611,VD DHW TOTAL,x,x,,Amount of heat HP 5,,,6,MWh,r,HI HP 5
3612,VD HEATING DAY,x,x,,Power consumption HP 5,,,6,kWh,r,CONSUMED HP 5
3613,VD HEATING TOTAL,x,x,,Power consumption HP 5,,,6,kWh,r,LOW CONSUMED HP 5
3614,VD HEATING TOTAL,x,x,,Power consumption HP 5,,,6,MWh,r,HI CONSUMED HP 5
3615,VD DHW DAY,x,x,,Power consumption HP 5,,,6,kWh,r,CONSUMED HP 5
3616,VD DHW TOTAL,x,x,,Power consumption HP 5,,,6,kWh,r,LOW CONSUMED HP 5
3617,VD DHW TOTAL,x,x,,Power consumption HP 5,,,6,MWh,r,HI CONSUMED HP 5
3618,VD 1 HEATING,x,x,,Runtime HP 5,,,6,h,r,HP 5
3619,VD 2 HEATING,x,x,,Runtime HP 5,,,6,h,r,HP 5
3620,VD 1/2 HEATING,x,x,,Runtime HP 5,,,6,h,r,HP 5
3621,VD 1 DHW,x,x,,Runtime HP 5,,,6,h,r,HP 5
3622,VD 2 DHW,x,x,,Runtime HP 5,,,6,h,r,HP 5
3623,VD 1/2 DHW,x,x,,Runtime HP 5,,,6,h,r,HP 5
3624,VD COOLING,x,x,,Runtime HP 5,,,6,h,r,HP 5
3625,VD HEATING DAY,x,x,,Amount of heat HP 6,,,6,kWh,r,HP 6
3626,VD HEATING TOTAL,x,x,,Amount of heat HP 6,,,6,kWh,r,LOW HP 6
3627,VD HEATING TOTAL,x,x,,Amount of heat HP 6,,,6,MWh,r,HI HP 6
3628,VD DHW DAY,x,x,,Amount of heat HP 6,,,6,kWh,r,HP 6
3629,VD DHW TOTAL,x,x,,Amount of heat HP 6,,,6,kWh,r,LOW HP 6
3630,VD DHW TOTAL,x,x,,Amount of heat HP 6,,,6,MWh,r,HI HP 6
3631,VD HEATING DAY,x,x,,Power consumption HP 6,,,6,kWh,r,CONSUMED HP 6
3632,VD HEATING TOTAL,x,x,,Power consumption HP 6,,,6,kWh,r,LOW CONSUMED HP 6
3633,VD HEATING TOTAL,x,x,,Power consumption HP 6,,,6,MWh,r,HI CONSUMED HP 6
3634,VD DHW DAY,x,x,,Power consumption HP 6,,,6,kWh,r,CONSUMED HP 6
3635,VD DHW TOTAL,x,x,,Power consumption HP 6,,,6,kWh,r,LOW CONSUMED HP 6
3636,VD DHW TOTAL,x,x,,Power consumption HP 6,,,6,MWh,r,HI CONSUMED HP 6
3637,VD 1 HEATING,x,x,,Runtime HP 6,,,6,h,r,HP 6
3638,VD 2 HEATING,x,x,,Runtime HP 6,,,6,h,r,HP 6
3639,VD 1/2 HEATING,x,x,,Runtime HP 6,,,6,h,r,HP 6
3640,VD 1 DHW,x,x,,Runtime HP 6,,,6,h,r,HP 6
3641,VD 2 DHW,x,x,,Runtime HP 6,,,6,h,r,HP 6
3642,VD 1/2 DHW,x,x,,Runtime HP 6,,,6,h,r,HP 6
3643,VD COOLING,x,x,,Runtime HP 6,,,6,h,r,HP 6
